url,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,images,country,language,average_rating,reviews_count,crawled_at
https://www.adidas.com/us/marvel-x-ghosted.3-firm-ground-cleats/FZ1757.html,Marvel X Ghosted.3 Firm Ground Cleats,FZ1757,64,$80,USD,InStock,Blue,Shoes,adidas United States,https://www.adidas.com,Soccer/Shoes,X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.,adidas,FZ1757_1.jpg~FZ1757_2.jpg~FZ1757_3.jpg~FZ1757_4.jpg~FZ1757_5.jpg~FZ1757_6.jpg~FZ1757_7.jpg~FZ1757_8.jpg,USA,en,4.4,160,2021-10-23 17:50:20.140542
https://www.adidas.com/us/pureboost-21-shoes/GY5110.html,Pureboost 21 Shoes,GY5110,91,$130,USD,InStock,Purple,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill.",adidas,GY5110_1.jpg~GY5110_2.jpg~GY5110_3.jpg~GY5110_4.jpg~GY5110_5.jpg~GY5110_6.jpg~GY5110_7.jpg~GY5110_8.jpg,USA,en,4.5,63,2021-10-23 17:50:20.230371
https://www.adidas.com/us/lite-racer-byd-2.0-shoes/GZ8209.html,Lite Racer BYD 2.0 Shoes,GZ8209,56,$70,USD,InStock,Grey,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",adidas,GZ8209_1.jpg~GZ8209_2.jpg~GZ8209_3.jpg~GZ8209_4.jpg~GZ8209_5.jpg~GZ8209_6.jpg~GZ8209_7.jpg~GZ8209_8.jpg~GZ8209_9.jpg,USA,en,4.6,135,2021-10-23 17:50:20.424767
https://www.adidas.com/us/adilette-shower-slides/FZ2853.html,Adilette Shower Slides,FZ2853,20,$25,USD,InStock,Pink,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,"When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day.",adidas,FZ2853_1.jpg~FZ2853_2.jpg~FZ2853_3.jpg~FZ2853_4.jpg~FZ2853_5.jpg~FZ2853_6.jpg~FZ2853_7.jpg~FZ2853_8.jpg~FZ2853_9.jpg,USA,en,4.6,327,2021-10-23 17:50:20.942962
https://www.adidas.com/us/essentials-loose-logo-tank-top/GL0567.html,Essentials Loose Logo Tank Top,GL0567,20,$25,USD,InStock,White,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion.",adidas,GL0567_1.jpg~GL0567_2.jpg~GL0567_3.jpg~GL0567_4.jpg~GL0567_5.jpg~GL0567_6.jpg,USA,en,4.8,116,2021-10-23 17:50:21.022667
https://www.adidas.com/us/conext-21-mini-ball/GK3487.html,Conext 21 Mini Ball,GK3487,10,$14,USD,InStock,White,Accessories,adidas United States,https://www.adidas.com,Men/Accessories,"The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling.",adidas,GK3487_1.jpg~GK3487_2.jpg~GK3487_3.jpg~GK3487_4.jpg,USA,en,5.0,10,2021-10-23 17:50:21.104086
https://www.adidas.com/us/copa-sense.3-turf-shoes/FW6528.html,Copa Sense.3 Turf Shoes,FW6528,64,$80,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"In the cage. On the court. When the walls close in, your senses take over. Let Copa Sense elevate your touch as you switch up your game. The stretchy collar on these adidas soccer shoes makes for easy entry and a secure fit. Once on, the anatomically designed upper keeps you firmly locked in. Soft and durable, the leather forefoot brings step-in comfort and a touch that buys you time on the busiest courts.",adidas,FW6528_1.jpg~FW6528_2.jpg~FW6528_3.jpg~FW6528_4.jpg~FW6528_5.jpg~FW6528_6.jpg~FW6528_7.jpg~FW6528_8.jpg,USA,en,4.3,106,2021-10-23 17:50:21.302095
https://www.adidas.com/us/futurenatural-shoes/GX5152.html,FutureNatural Shoes,GX5152,84,$120,USD,InStock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,GX5152_1.jpg~GX5152_2.jpg~GX5152_3.jpg~GX5152_4.jpg~GX5152_5.jpg~GX5152_6.jpg~GX5152_7.jpg~GX5152_8.jpg~GX5152_9.jpg,USA,en,4.5,204,2021-10-23 17:50:21.816471
https://www.adidas.com/us/marvel-superhero-racer-tr-2.0-shoes/H04458.html,Marvel Superhero Racer TR 2.0 Shoes,H04458,35,$43,USD,InStock,Black,Shoes,adidas United States,https://www.adidas.com,Kids/Shoes,"For the toddler in your family who's already always on the move, keep their feet cozy in these adidas shoes. The soft upper and lightweight midsole let them explore the big new world in comfort and confidence.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,H04458_1.jpg~H04458_2.jpg~H04458_3.jpg~H04458_4.jpg~H04458_5.jpg~H04458_6.jpg~H04458_7.jpg~H04458_8.jpg~H04458_9.jpg,USA,en,5.0,9,2021-10-23 17:50:21.895941
https://www.adidas.com/us/primegreen-essentials-warm-up-slim-3-stripes-track-jacket/H48444.html,Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,H48444,40,$50,USD,InStock,Blue,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach. 

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,H48444_1.jpg~H48444_2.jpg~H48444_3.jpg~H48444_4.jpg~H48444_5.jpg,USA,en,4.7,14,2021-10-23 17:50:21.974891
https://www.adidas.com/us/fluidflash-shoes/GY5019.html,Fluidflash Shoes,GY5019,60,$85,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Essentials/Shoes,"You never blend in. So pair your attitude with your look in these adidas Fluidflash Shoes. A design inspired by outer space levels up your sneaker game. Luxe, lightweight softness makes you feel like you're walking in zero gravity. Liftoff.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",adidas,GY5019_1.jpg~GY5019_2.jpg~GY5019_3.jpg~GY5019_4.jpg~GY5019_5.jpg~GY5019_6.jpg~GY5019_7.jpg~GY5019_8.jpg~GY5019_9.jpg,USA,en,4.2,120,2021-10-23 17:50:22.976968
https://www.adidas.com/us/zx-2k-boost-shoes/GV7380.html,ZX 2K Boost Shoes,GV7380,105,$150,USD,InStock,White,Shoes,adidas United States,https://www.adidas.com,Originals/Shoes,The ZX stepped onto the scene as a revolutionary line of technical runners. These adidas ZX 2K Boost Shoes honor the spirit of innovation that drives change in tech and in culture. No-sew overlays add depth to the upper. Boost keeps your energy high so you're always moving forward.,adidas,GV7380_1.jpg~GV7380_2.jpg~GV7380_3.jpg~GV7380_4.jpg~GV7380_5.jpg~GV7380_6.jpg~GV7380_7.jpg~GV7380_8.jpg,USA,en,4.7,2540,2021-10-23 17:50:23.330103
